DOC_TYPE,DOC_TYPE_NAME,DOC_NO,DOC_DATE,C_CODE,DEBIT,CREDIT,BALANCE,DOC_NO_DUP
3,أخرى (3),1,2026-01-01,,161000.0,0.0,161000.0,1
6,أخرى (6),11,2026-01-05,,0.0,2500.0034,-2500.0034,11
6,أخرى (6),13,2026-01-13,,0.0,4140.0,-4140.0,13
6,أخرى (6),27,2026-01-16,,0.0,128240.18,-128240.18,27
3,أخرى (3),8,2026-01-18,,496800.0,0.0,496800.0,8
6,أخرى (6),21,2026-01-21,,0.0,496800.0,-496800.0,21
6,أخرى (6),28,2026-01-21,,0.0,111513.2,-111513.2,28
6,أخرى (6),23,2026-01-22,,0.0,799.9975,-799.9975,23
16,أخرى (16),1,2026-01-25,,4945.0,0.0,4945.0,1
6,أخرى (6),29,2026-01-25,,0.0,2458.792,-2458.792,29
6,أخرى (6),46,2026-01-25,,0.0,1717.9965,-1717.9965,46
6,أخرى (6),33,2026-01-29,,0.0,3159.18,-3159.18,33
6,أخرى (6),35,2026-01-31,,0.0,4016.168,-4016.168,35
6,أخرى (6),38,2026-01-31,,0.0,231131.3585,-231131.3585,38
6,أخرى (6),39,2026-01-31,,0.0,5861.32,-5861.32,39
6,أخرى (6),45,2026-02-03,,0.0,471.0055,-471.0055,45
6,أخرى (6),47,2026-02-03,,0.0,3752.9491,-3752.9491,47
6,أخرى (6),53,2026-02-03,,0.0,4028.9721,-4028.9721,53
6,أخرى (6),56,2026-02-03,,0.0,145084.0,-145084.0,56
6,أخرى (6),57,2026-02-07,,0.0,92479.55,-92479.55,57
6,أخرى (6),62,2026-02-12,,0.0,2148.982,-2148.982,62
6,أخرى (6),63,2026-02-12,,0.0,1250.004,-1250.004,63
6,أخرى (6),64,2026-02-12,,0.0,1464.272,-1464.272,64
6,أخرى (6),86,2026-02-12,,0.0,5945.5,-5945.5,86
6,أخرى (6),68,2026-02-14,,0.0,45000.0037,-45000.0037,68
6,أخرى (6),77,2026-02-14,,0.0,337811.6289,-337811.6289,77
6,أخرى (6),79,2026-02-14,,0.0,33114.342,-33114.342,79
6,أخرى (6),80,2026-02-14,,0.0,16567.038,-16567.038,80
6,أخرى (6),81,2026-02-14,,0.0,132250.0,-132250.0,81
6,أخرى (6),82,2026-02-14,,0.0,129374.8793,-129374.8793,82
6,أخرى (6),69,2026-02-15,,0.0,45264.0,-45264.0,69
6,أخرى (6),83,2026-02-16,,0.0,4974.4918,-4974.4918,83
6,أخرى (6),74,2026-02-17,,0.0,2219.9945,-2219.9945,74
7,أخرى (7),1,2026-02-21,,3927.9918,0.0,3927.9918,1
6,أخرى (6),87,2026-02-21,,0.0,12678.75,-12678.75,87
6,أخرى (6),85,2026-02-22,,0.0,131.192,-131.192,85
6,أخرى (6),90,2026-02-24,,0.0,1899.9955,-1899.9955,90
6,أخرى (6),103,2026-02-26,,0.0,110381.14,-110381.14,103
6,أخرى (6),114,2026-02-26,,0.0,14231.25,-14231.25,114
6,أخرى (6),91,2026-03-01,,0.0,47150.0,-47150.0,91
6,أخرى (6),92,2026-03-01,,0.0,94300.0,-94300.0,92
6,أخرى (6),93,2026-03-01,,0.0,1886.0,-1886.0,93
6,أخرى (6),96,2026-03-01,,0.0,192.5537,-192.5537,96
6,أخرى (6),109,2026-03-01,,0.0,1349.9965,-1349.9965,109
6,أخرى (6),97,2026-03-03,,0.0,3959.979,-3959.979,97
6,أخرى (6),106,2026-03-04,,0.0,8644.4442,-8644.4442,106
6,أخرى (6),107,2026-03-04,,0.0,286.833,-286.833,107
6,أخرى (6),101,2026-03-05,,0.0,1979.9861,-1979.9861,101
6,أخرى (6),102,2026-03-05,,0.0,1181.2455,-1181.2455,102
6,أخرى (6),105,2026-03-05,,0.0,392.15,-392.15,105
