تاريخ الفاتورة,رقم الفاتورة,الكمية المباعة,سعر البيع للوحدة,إجمالي البيع,تكلفة فعلية للوحدة,إجمالي تكلفة فعلية,الربح الفعلي,تكلفة معيارية للوحدة,إجمالي تكلفة معيارية,الربح المعياري
2026-06-08,26314400646,3,401,1203,401,1203,0,310,930,273
2026-06-09,26314400653,2,401,802,401,802,0,310,620,182
2026-06-09,26314400656,3,401,1203,401,1203,0,310,930,273
2026-06-09,26314400663,3,401,1203,401,1203,0,310,930,273
2026-06-10,26314400664,3,401,1203,401,1203,0,310,930,273
2026-06-12,26314400687,2,401,802,401,802,0,310,620,182
2026-06-14,26314400697,3,401,1203,401,1203,0,310,930,273
2026-06-14,26314400699,10,401,4010,401,4010,0,310,3100,910
2026-06-15,26314400704,5,401,2005,401,2005,0,310,1550,455
2026-06-18,26314400718,8,401,3208,401,3208,0,310,2480,728
2026-06-18,26314400721,4,401,1604,401,1604,0,310,1240,364
2026-06-18,26314400723,4,401,1604,401,1604,0,310,1240,364
2026-06-18,26314400727,5,401,2005,401,2005,0,310,1550,455
2026-06-18,26314400731,4,401,1604,401,1604,0,310,1240,364
2026-06-20,26314400732,5,401,2005,401,2005,0,310,1550,455
2026-06-20,26314400733,10,401,4010,401,4010,0,310,3100,910
2026-06-20,26314400735,4,401,1604,401,1604,0,310,1240,364
2026-06-20,26314400739,1,401,401,401,401,0,310,310,91
2026-06-20,26314400743,1,401,401,401,401,0,310,310,91
2026-06-21,26314400747,9,401,3609,401,3609,0,310,2790,819
2026-06-22,26314400749,5,401,2005,401,2005,0,310,1550,455
2026-06-22,26314400754,2,395,790,395,790,0,310,620,170
2026-06-22,26314400761,5,399,1995,399,1995,0,310,1550,445
2026-06-24,26314400765,10,395,3950,395,3950,0,310,3100,850
2026-06-24,26314400766,10,395,3950,395,3950,0,310,3100,850
2026-06-25,26314400767,10,395,3950,395,3950,0,310,3100,850
2026-06-28,26314400774,10,400,4000,400,4000,0,310,3100,900
2026-06-28,26314400775,10,400,4000,400,4000,0,310,3100,900
2026-06-30,26314400797,1,395,395,395,395,0,310,310,85
2026-06-30,26314400798,1,395,395,395,395,0,310,310,85
2026-06-30,26314400803,1,400,400,400,400,0,310,310,90
