رقم العميل,اسم العميل,المديونية (ريال),تمت حركة في 2026,حالة المبيعات,الإيقاف الكلي,رقم الجوال / الهاتف
2155,شركة الساحة العالمية للتجارة,1538273.00,نعم,نشط,نشط,0555406223
1035,شركة الوكيل العام للتجارة,1503322.50,نعم,نشط,نشط,0561978886
2189,شركة الشويرد للتكييف,622027.33,نعم,نشط,نشط,0558787813
1662,شركة الابراج الجديدة للتجارة- New Towers Trading company,535031.55,نعم,نشط,نشط,0555177982
2153,مؤسسة ركن المستقبل التجارية,480248.81,نعم,نشط,نشط,0537748425 / 0551376786
1121,مؤسسة هله الشراري -الباشا - طبرجل,473478.88,نعم,نشط,نشط,572217380
1182,شركة الشرقية الغربية هيبر ماركت الرياض ((نستو )),460932.92,نعم,نشط,نشط,0555043615
1119,شركة ركن بشاة للتجارة,456357.74,نعم,نشط,نشط,0550653954
1856,مؤسسة يوسف عبدالله بن ظليفان الشراري للاجهزة المنزلية,439862.37,نعم,نشط,نشط,0543077719
2149,مؤسسة ربيع الفيصل للأجهزة المنزلية,426649.68,نعم,نشط,نشط,0534449243
1013,شركة الأجهزة الحديثة للأجهزة المنزلية,419089.50,نعم,نشط,نشط,0505150569
1690,مؤسسة حسين فهد متعب المزيد للاجهزة المنزلية,406438.40,نعم,نشط,نشط,0553331955
1143,شركة خالد احمد العبودي للتجارة,375880.49,نعم,نشط,نشط,0557377778
1483,شركة الرائد للاجهزة المنزلية,360359.46,نعم,نشط,نشط,0531295575
1201,شركة نجم الاجهزة للتجارة,357868.15,نعم,نشط,نشط,0562233433
1978,شركة كنز الاجهزة للتجارة,345031.18,نعم,نشط,نشط,0583739643
1267,مؤسسة سما سيما للتجارة,342866.99,نعم,نشط,نشط,0559938386
2049,شركة الحلو المتقدمة,339336.46,نعم,نشط,نشط,0545161620 / 0500453737
2141,شركة الراج الاصلي المحدودة,297283.59,نعم,نشط,نشط,0541005852
1844,شركة منافذ للتكييف والتبريد,293691.65,نعم,نشط,نشط,0557504962
2164,شركة الحسين توب اب للتجارة,278368.60,نعم,نشط,نشط,0593909374
1569,منديل / جيزان,275172.68,نعم,نشط,نشط,0539113275
1213,شركة الشرقية الغربية هيبر ماركت  الدمام(نستو),273480.94,نعم,نشط,نشط,0555172915
1680,مؤسسة باسل فهد المزيد التجارية,272981.44,نعم,نشط,نشط,0505131474
1381,شركة بن حمود السعودية للتجارة,259345.90,نعم,نشط,نشط,0509793522
1846,شركة النيل المميزة للتجارة,237477.55,نعم,نشط,نشط,0581235606 / 0562460128
1735,شركة التوفيق الحديثة للاجهزة الالكترونية,237404.96,نعم,نشط,نشط,0506651371 / 0535877160
1261,مؤسسة تمام للاجهزة الالكترونية,230667.39,نعم,موقوف,نشط,0505899597
1379,مؤسسة نجد للاجهزة الالكترونية,230386.58,نعم,نشط,نشط,0541357773
1732,مؤسسة طالع محمد بن طالع عسيري التجارية,228920.27,نعم,نشط,نشط,0509920026
1712,مؤسسة أول الصيف للتجارة,227966.15,نعم,نشط,نشط,0508702981
1343,مؤسسة مفرح غربي نحيطر العنزي للتجارة /مكتب ابداع الانجاز,226154.85,نعم,نشط,نشط,0554171498
1269,مؤسسة صندوق الاجهزة للتجارة  0504485905,225686.34,نعم,نشط,نشط,0504485905
1233,موسسة نجوم العالمية للتجارة,214105.45,نعم,نشط,نشط,0557559417
2111,شركة الدولى الحديث للأجهزة المنزلية,213340.85,نعم,نشط,نشط,0567392903
1672,شركة بور تك للتجارة,213181.05,نعم,نشط,نشط,0563324494
2129,شركة بلادي المتميزة التجارية,203434.66,نعم,نشط,نشط,0508889843 / 0507154915
1701,مؤسسة وفاء علي ناصر حكمي,201322.06,نعم,موقوف,نشط,0537225671 / 05
1615,مؤسسة البداية الذكية للتجارة,197665.97,نعم,نشط,نشط,0536799599
1245,مؤسسة جبال القمة للتجارة ركن الشتاء  والصيف,195848.64,نعم,نشط,نشط,0503049605
1408,مؤسسة النجم الساطع للاجهزة الالكترونية,194680.71,نعم,نشط,نشط,
1042,شركة ديار الفارس,187667.33,نعم,نشط,نشط,0533955809
1353,مؤسسة محمد علي علي ال رجب التجارية,184534.71,نعم,نشط,نشط,0505723702
1181,مؤسسة صندوق التقنية,183183.04,نعم,نشط,نشط,0550739454
2071,مؤسسة احمد هادي محمد كريري للأجهزة الإلكترونية,183120.36,نعم,نشط,نشط,0530315789 / 0542279319
2139,شركة جبال الاندلس للتجارة,181823.89,نعم,نشط,نشط,0557997959
1670,محل افاق اثتين للاجهزة المنزلية,179673.89,نعم,نشط,نشط,0506981056
1244,مؤسسة بيت الالكترونيات للتجارة,178001.35,نعم,نشط,نشط,0505113709
1676,جميل محمد القرعاني /الساحل /البدغ,177422.99,نعم,نشط,نشط,
2127,مؤسسة غصاب بن فهد الدوسري التجارية,172571.39,نعم,نشط,نشط,0547489738
1792,شركة اعمال حسام للاشتثمار,171307.44,نعم,نشط,نشط,0594850419 / 0565490951
2054,مؤسسة نجمة ليالي للأجهزة الألكترونية,165892.90,نعم,نشط,نشط,0509520340
1608,شركة الماسة مول للاواني المنزلية,165429.05,نعم,نشط,نشط,0553696263
1724,شركة المصيف البارد للتجارة,165006.72,نعم,موقوف,نشط,0537860300
2031,شركة موجة العربية المركزية التجارية شركة ذات المسؤولية محدودة,155067.70,نعم,نشط,نشط,0531417370 / 0567579565
1123,مؤسسة سهم الضواء التجارية - تبوك,150301.65,نعم,نشط,نشط,0552378991
1105,مؤسسة بوابة التسويق,149704.60,نعم,نشط,نشط,0562567001
1074,مؤسسة خالد عبدالعزيز الدغيم التجارية-الرس1,149558.25,نعم,نشط,نشط,0557185328
1691,مؤسسة رغد التمييز للتجارة سوق العرب,147049.92,نعم,نشط,نشط,0544063009
1149,شركة الذكاء الازرق  للأجهزة -المدينه,146097.60,نعم,موقوف,نشط,0555301560
1315,شركة المدينة هايبر للتجارة,145151.33,نعم,نشط,نشط,0550661491
2108,شركة كيان الشبكة التجاري,142932.87,نعم,نشط,نشط,0558870300 / 0599572122
2157,شركة سما شمس  المحدودة,141803.38,نعم,نشط,نشط,0551027602
2219,شركة الصفوة بلس للاجهزة الإلكترونية,139991.20,نعم,نشط,نشط,0555594403
1202,موسسة البيت المخفض,138028.25,نعم,موقوف,نشط,0553661633
1985,مؤسسة رتب بيتك للأجهزة الإكترونية,137217.70,نعم,نشط,نشط,0556289970 / 0510636090
1911,مؤسسة ضاوي سالم وليد المهري للتجارة,136182.34,نعم,نشط,نشط,0538715187
